fecha;area;partida;importe
2025-02-06;Calidad;Seguros;696.5
2025-01-29;IT;Viajes;3681.08
2025-08-11;Marketing;Viajes;1790.26
2025-07-21;Direccion;Software;765.61
2025-05-12;Ventas;Alquileres;4817.19
2025-06-11;RRHH;Viajes;6358.68
2025-05-20;RRHH;Alquileres;3460.92
2025-06-06;Ventas;Viajes;506.78
2025-07-25;Contabilidad;Viajes;473.1
2025-09-02;Contabilidad;Formacion;3551.57
2025-01-19;Marketing;Hardware;7613.58
2025-06-30;IT;Formacion;1157.11
2025-03-07;Administracion;Personal;6581.9
2025-03-08;I+D;Software;4894.3
2025-10-04;I+D;Viajes;7278.72
2025-04-16;Administracion;Seguros;1579.76
2025-03-26;Marketing;Suministros;6585.18
2025-04-05;IT;Mantenimiento;14570.5
2025-04-16;I+D;Suministros;372.49
2025-01-10;Marketing;Alquileres;6643.64
2025-09-09;RRHH;Hardware;17491.22
2025-01-26;Marketing;Alquileres;9058.35
2025-07-23;Administracion;Software;1196.77
2025-08-12;Contabilidad;Mantenimiento;16029.27
2025-01-02;IT;Hardware;15741.51
2025-01-29;IT;Hardware;8408.26
2025-11-04;Direccion;Formacion;12087.04
2025-02-26;Operaciones;Viajes;6470.18
2025-10-04;Calidad;Suministros;5504.55
2025-08-16;Direccion;Hardware;9776.96
2025-03-01;RRHH;Software;13042.22
2025-09-03;Contabilidad;Publicidad;1583.25
2025-02-05;IT;Suministros;7877.7
2025-03-20;Contabilidad;Alquileres;2112.85
2025-02-24;Calidad;Hardware;1675.13
2025-07-10;Operaciones;Personal;1913.86
2025-02-07;Contabilidad;Mantenimiento;10000000.0
2025-07-11;Operaciones;Publicidad;205.91
2025-10-23;Direccion;Publicidad;907.98
2025-02-21;Ventas;Software;683.5
2025-02-06;Ventas;Formacion;3850.35
2025-08-04;IT;Alquileres;1919.93
2025-04-07;RRHH;Formacion;2679.78
2025-05-06;RRHH;Viajes;10068.52
2025-05-05;Contabilidad;Hardware;6433.31
2025-03-22;I+D;Personal;2643.27
2025-03-31;I+D;Formacion;13870.82
2025-02-02;I+D;Personal;6756.13
2025-13-40;Ventas;Suministros;3182.95
2025-01-07;Ventas;Software;1085.67
2025-09-03;IT;Viajes;7311.41
2025-03-09;;Software;2982.77
2025-09-29;Ventas;Alquileres;7853.74
2025-05-14;Contabilidad;Personal;2026.7
2025-10-02;Calidad;Mantenimiento;348.41
2025-07-23;Contabilidad;;1855.03
2025-07-13;IT;Suministros;1582.29
2025-08-18;RRHH;;11140.71
2025-09-01;Direccion;Software;4712.98
2025-07-23;Ventas;Hardware;3971.46
2025-08-26;Direccion;Publicidad;637.55
2025-03-01;IT;Suministros;6689.82
2025-04-29;Contabilidad;Seguros;12982.65
2025-02-26;Operaciones;Hardware;4163.07
2025-04-21;RRHH;Seguros;271.28
2025-08-12;IT;Viajes;6157.98
2025-03-17;I+D;Mantenimiento;6165.36
2025-09-25;Operaciones;Software;1982.75
2025-04-27;Administracion;Suministros;7105.0
2025-09-25;I+D;Viajes;786.54
2025-01-26;Direccion;Hardware;13287.39
2025-03-31;RRHH;Suministros;17888.6
2025-04-23;Operaciones;Personal;1990.96
2025-10-13;Marketing;Alquileres;4738.37
2025-03-17;Operaciones;Mantenimiento;9469.88
2025-05-13;Calidad;Viajes;7327.63
2025-04-25;RRHH;Suministros;2915.7
2025-04-06;Direccion;Mantenimiento;5344.17
2025-02-13;Marketing;Mantenimiento;3798.08
2025-01-06;Calidad;Publicidad;1747.34
2025-03-31;Ventas;Software;646.57
2025-06-07;RRHH;Hardware;8901.1
2025-06-11;XXX-AREA MALA;Publicidad;799.91
2025-08-29;Contabilidad;Personal;9103.99
2025-09-01;Operaciones;Publicidad;1425.0
2025-08-19;Marketing;Suministros;110.58
2025-01-04;IT;Viajes;1354.69
2025-07-11;I+D;Personal;1436.3
2025-09-20;Contabilidad;Mantenimiento;5693.33
2025-03-31;Administracion;Software;2761.88
